date,fiscal_year,month,month_name,quarter,week,day_of_week,is_festive_season
2023-10-12,FY24,2023-10,Oct,2023Q4,2023-W41,Thursday,1
2023-10-13,FY24,2023-10,Oct,2023Q4,2023-W41,Friday,1
2023-10-14,FY24,2023-10,Oct,2023Q4,2023-W41,Saturday,1
2023-10-15,FY24,2023-10,Oct,2023Q4,2023-W42,Sunday,1
2023-10-16,FY24,2023-10,Oct,2023Q4,2023-W42,Monday,1
2023-10-17,FY24,2023-10,Oct,2023Q4,2023-W42,Tuesday,1
2023-10-18,FY24,2023-10,Oct,2023Q4,2023-W42,Wednesday,1
2023-10-19,FY24,2023-10,Oct,2023Q4,2023-W42,Thursday,1
2023-10-20,FY24,2023-10,Oct,2023Q4,2023-W42,Friday,1
2023-10-21,FY24,2023-10,Oct,2023Q4,2023-W42,Saturday,1
2023-10-22,FY24,2023-10,Oct,2023Q4,2023-W43,Sunday,1
2023-10-23,FY24,2023-10,Oct,2023Q4,2023-W43,Monday,1
2023-10-24,FY24,2023-10,Oct,2023Q4,2023-W43,Tuesday,1
2023-10-25,FY24,2023-10,Oct,2023Q4,2023-W43,Wednesday,1
2023-10-26,FY24,2023-10,Oct,2023Q4,2023-W43,Thursday,1
2023-10-27,FY24,2023-10,Oct,2023Q4,2023-W43,Friday,1
2023-10-28,FY24,2023-10,Oct,2023Q4,2023-W43,Saturday,1
2023-10-29,FY24,2023-10,Oct,2023Q4,2023-W44,Sunday,1
2023-10-30,FY24,2023-10,Oct,2023Q4,2023-W44,Monday,1
2023-10-31,FY24,2023-10,Oct,2023Q4,2023-W44,Tuesday,1
2023-11-01,FY24,2023-11,Nov,2023Q4,2023-W44,Wednesday,1
2023-11-02,FY24,2023-11,Nov,2023Q4,2023-W44,Thursday,1
2023-11-03,FY24,2023-11,Nov,2023Q4,2023-W44,Friday,1
2023-11-04,FY24,2023-11,Nov,2023Q4,2023-W44,Saturday,1
2023-11-05,FY24,2023-11,Nov,2023Q4,2023-W45,Sunday,1
2023-11-06,FY24,2023-11,Nov,2023Q4,2023-W45,Monday,1
2023-11-07,FY24,2023-11,Nov,2023Q4,2023-W45,Tuesday,1
2023-11-08,FY24,2023-11,Nov,2023Q4,2023-W45,Wednesday,1
